Project id: u,,Project Name: TeachersPetBot
,,
Notes,Marks/Points(0-3),Evidence
Video,3,"2min video of new functionality, showing a significant delta from prior.
  
 Youtube Link"
Workload is spread over the whole team (one team member is often X times more productive than the others...,2,Collaborators Commits Link
"But nevertheless, here is a track record that everyone is contributing a lot)",2,Collaborators Commits Link
Number of commits,2,"430 commits
 in GH"
Number of commits: by different people,2,"Chandrahas Reddy Mandapati - 54
 05Sandesh - 13
 Niraj Lavani – 23
 Harini Bharata - 12
 Sri Pallavi - 25
 Ashwin Shankar - 28
  
 Command : git shortlog -s -n"
Issues reports: there are many,1,"17
 
 
 Open Issues"
Issues are being closed,2,"23
  
 Closed Issues"
DOI badge: exists,3,ReadMe
"Docs: docs generated, format not ugly",2,docs
Docs: what: point descriptions of each class/function (in isolation),3,"Functionality1
 Functionality2"
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,doc page entries
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,docs/img link
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,ReadMe
Use of version control tools,3,Github
Use of style checkers,3,Style Checkers
Use of code formatters.,1,Nothing in Github. But might have used in VS Code with Python extension
Use of syntax checkers.,1,We can see test.yml which also performs syntax checking.
Use of code coverage,2,Git Badges
Other automated analysis tools,0,config files in GH
Test cases exist,3,CodeCov
Test cases are routinely executed,1,"Might have used some Github Actions
 Or
 File1"
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,CONTRIBUTING.md
Issues are discussed before they are closed,0,"We do not see any discussions in the Forum. Even if you discuss in slack, need a summary statement here"
Chat channel: exists,0,Link or screenshots
Test cases: a large proportion of the issues related to handling failing cases.,,"If a test case fails, open an issue and fix it"
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,CheckCommits
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,Requirements.txt is installed by everyone.
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",N/A,N/A
Evidence that the members of the team are working across multiple places in the code base,2,CheckCommits
Short release cycles,2,Graphs
"Software Sustainability Evaluation.
  
  
  
  
 Q1 - What your software does",,
"1.1) Does your website and documentation provide a clear, high-level overview of your software?",YES,
1.2) Does your website and documentation clearly describe the type of user who should use your software?,NO,
1.3) Do you publish case studies to show how your software has been used by yourself and others?,NO,
Q2 - Your project's and software's identity,,
2.1) Is the name of your project/software unique?,NO,
2.2) Is your project/software name free from trademark violations?,NO,
Q3 - Availability of your software,,
3.1) Is your software available as a package that can be deployed without building it?,NO,
3.2) Is your software available for free?,YES,
"3.3) Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",YES,
"3.4) Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",YES,
Q4 - Your software's documentation,,
4.1) Is your documentation clearly available on your website or within your software?,YES,
"4.2) Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",YES,
"4.3) If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",YES,
"4.4) Do you provide a comprehensive guide to all your software’s commands, functions and options?",YES,
4.5) Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,NO,
"4.6) If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",NO,
4.7) Do you store your documentation under revision control with your source code?,YES,
"4.8) Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",YES,
Q5 - How you support your software,,
5.1) Does your software describe how a user can get help with using your software?,YES,
"5.2) Does your website and documentation describe what support, if any, you provide to users and developers?",YES,
5.3) Does your project have an e-mail address or forum that is solely for supporting users?,NO,
5.4) Are e-mails to your support e-mail address received by more than one person?,Not Applicable,
5.5) Does your project have a ticketing system to manage bug reports and feature requests?,YES,
"5.6) Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",YES,
Q6 - Your software's maintainability,,
6.1) Is your software’s architecture and design modular?,YES,
6.2) Does your software use an accepted coding standard or convention?,YES,
Q7 - Open standards and your software,,
"7.1) Does your software allow data to be imported and exported using open data formats?
 e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",YES,
"7.2) Does your software allow communications using open communications protocols?
 e.g. HTTP, FTP, XMPP, SOAP over HTTP, or domain-specific ones",YES,
Q8 - Your software's portability,,
"8.1) Is your software cross-platform compatible?*
 e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",YES,
Q9 - Your software and accessibility,,
9.1) Does your software adhere to appropriate accessibility conventions or standards?,YES,
9.2) Does your documentation adhere to appropriate accessibility conventions or standards?,YES,
Q10 - How you manage your source code,,
10.1) Is your source code stored in a repository under revision control?,YES,
10.2) Is each source code release a snapshot of the repository?,YES,
10.3) Are releases tagged in the repository?,YES,
"10.4) Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",YES,
10.5) Do you back-up your repository?,Not Applicable,
Q11 - Building and installing your software,,
11.1) Do you provide publicly-available instructions for building your software from the source code?,YES,
"11.2) Can you build, or package, your software using an automated tool?*
 e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",YES,
11.3) Do you provide publicly-available instructions for deploying your software?,YES,
11.4) Does your documentation list all third-party dependencies?,YES,
11.5) Does your documentation list the version number for all third-party dependencies?,YES,
"11.6) Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or",Not Applicable,
"11.7) Can you download dependencies using a dependency management tool or package manager?*
 e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",YES,
11.8) Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,YES,
Q12 - How you test your software,,
12.1) Do you have an automated test suite for your software?,YES,
12.2) Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,YES,
"12.3) Do you use continuous integration, automatically running tests whenever changes are made to your source code?",YES,
12.4) Are your test results publicly visible?,YES,
12.5) Are all manually-run tests documented?,YES,
Q13 - How you engage with your community,,
"13.1) Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?
 e.g. release announcements, publications, workshops, conference presentations",NO,
13.2)  Does your website state how many projects and users are associated with your project?,NO,
13.3) Do you provide success stories on your website?,NO,
13.4) Do you list your important partners and collaborators on your website?,N/A,
13.5) Do you list your project's publications on your website or link to a resource where these are available?,N/A,
13.6) Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,N/A,
13.7) Can users subscribe to notifications to changes to your source code repository?,YES,
"13.8) If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",NO,
Q14 - How you manage contributions,,
"14.1) Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",YES,
14.2) Do you have a contributions policy?,YES,
14.3) Is your contributions' policy publicly available?,YES,
14.4) Do contributors keep the copyright/IP of their contributions?,NO,
Q15 - Your software's copyright and licensing,,
15.1) Does your website and documentation clearly state the copyright owners of your software and documentation?,YES,
15.2) Does each of your source code files include a copyright statement?,NO,
15.3) Does your website and documentation clearly state the licence of your software?,YES,
15.4) Is your software released under an open source licence?,YES,
15.5) Is your software released under an OSI-approved open-source licence?,YES,
15.6) Does each of your source code files include a licence header?,NO,
15.7) Do you have a recommended citation for your software?,NO,
Q16 - Your plans for the future,,
"16.1) Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",YES,
"16.2) Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",NO,
"16.3) Do you make timely announcements of the deprecation of components, APIs, etc.?",NO,
